,date,state,fips,cases,deaths
324,2020-03-06,Colorado,8,8,0
325,2020-03-06,Florida,12,7,2
326,2020-03-06,Georgia,13,3,0
327,2020-03-06,Hawaii,15,1,0
328,2020-03-06,Illinois,17,6,0
329,2020-03-06,Indiana,18,1,0
330,2020-03-06,Kentucky,21,1,0
331,2020-03-06,Maryland,24,3,0
332,2020-03-06,Massachusetts,25,8,0
333,2020-03-06,Minnesota,27,1,0
334,2020-03-06,Nebraska,31,14,0
335,2020-03-06,Nevada,32,2,0
336,2020-03-06,New Hampshire,33,2,0
337,2020-03-06,New Jersey,34,4,0
338,2020-03-06,New York,36,44,0
339,2020-03-06,North Carolina,37,2,0
340,2020-03-06,Oklahoma,40,1,0
341,2020-03-06,Oregon,41,2,0
342,2020-03-06,Pennsylvania,42,2,0
343,2020-03-06,Rhode Island,44,3,0
344,2020-03-06,South Carolina,45,2,0
345,2020-03-06,Tennessee,47,1,0
346,2020-03-06,Texas,48,19,0
347,2020-03-06,Utah,49,3,0
348,2020-03-06,Washington,53,86,12
349,2020-03-06,Wisconsin,55,1,0
350,2020-03-07,Arizona,4,5,0
351,2020-03-07,California,6,100,1
352,2020-03-07,Colorado,8,8,0
353,2020-03-07,District of Columbia,11,1,0
354,2020-03-07,Florida,12,12,2
355,2020-03-07,Georgia,13,7,0
356,2020-03-07,Hawaii,15,1,0
357,2020-03-07,Illinois,17,6,0
358,2020-03-07,Indiana,18,1,0
359,2020-03-07,Kansas,20,1,0
360,2020-03-07,Kentucky,21,1,0
361,2020-03-07,Maryland,24,3,0
362,2020-03-07,Massachusetts,25,13,0
363,2020-03-07,Minnesota,27,1,0
364,2020-03-07,Missouri,29,1,0
365,2020-03-07,Nebraska,31,14,0
366,2020-03-07,Nevada,32,2,0
367,2020-03-07,New Hampshire,33,4,0
368,2020-03-07,New Jersey,34,4,0
369,2020-03-07,New York,36,89,0
370,2020-03-07,North Carolina,37,2,0
371,2020-03-07,Oklahoma,40,1,0
372,2020-03-07,Oregon,41,6,0
373,2020-03-07,Pennsylvania,42,4,0
374,2020-03-07,Rhode Island,44,3,0
375,2020-03-07,South Carolina,45,2,0
376,2020-03-07,Tennessee,47,1,0
377,2020-03-07,Texas,48,19,0
378,2020-03-07,Utah,49,3,0
379,2020-03-07,Vermont,50,1,0
380,2020-03-07,Virginia,51,1,0
381,2020-03-07,Washington,53,110,16
382,2020-03-07,Wisconsin,55,1,0
383,2020-03-08,Arizona,4,5,0
384,2020-03-08,California,6,112,1
385,2020-03-08,Colorado,8,8,0
386,2020-03-08,Connecticut,9,1,0
387,2020-03-08,District of Columbia,11,1,0
388,2020-03-08,Florida,12,13,2
389,2020-03-08,Georgia,13,11,0
390,2020-03-08,Hawaii,15,2,0
391,2020-03-08,Illinois,17,7,0
392,2020-03-08,Indiana,18,2,0
393,2020-03-08,Iowa,19,3,0
394,2020-03-08,Kansas,20,1,0
395,2020-03-08,Kentucky,21,4,0
396,2020-03-08,Maryland,24,5,0
397,2020-03-08,Massachusetts,25,28,0
398,2020-03-08,Minnesota,27,2,0
399,2020-03-08,Missouri,29,1,0
400,2020-03-08,Nebraska,31,16,0
401,2020-03-08,Nevada,32,4,0
402,2020-03-08,New Hampshire,33,4,0
403,2020-03-08,New Jersey,34,6,0
404,2020-03-08,New York,36,106,0
405,2020-03-08,North Carolina,37,2,0
406,2020-03-08,Oklahoma,40,1,0
407,2020-03-08,Oregon,41,13,0
408,2020-03-08,Pennsylvania,42,6,0
409,2020-03-08,Rhode Island,44,3,0
410,2020-03-08,South Carolina,45,6,0
411,2020-03-08,Tennessee,47,3,0
412,2020-03-08,Texas,48,23,0
413,2020-03-08,Utah,49,3,0
414,2020-03-08,Vermont,50,1,0
415,2020-03-08,Virginia,51,2,0
416,2020-03-08,Washington,53,141,19
417,2020-03-08,Wisconsin,55,1,0
418,2020-03-09,Arizona,4,6,0
419,2020-03-09,California,6,172,2
420,2020-03-09,Colorado,8,12,0
421,2020-03-09,Connecticut,9,2,0
422,2020-03-09,District of Columbia,11,4,0
423,2020-03-09,Florida,12,14,2
424,2020-03-09,Georgia,13,17,0
425,2020-03-09,Hawaii,15,2,0
426,2020-03-09,Illinois,17,11,0
427,2020-03-09,Indiana,18,4,0
428,2020-03-09,Iowa,19,8,0
429,2020-03-09,Kansas,20,1,0
430,2020-03-09,Kentucky,21,5,0
431,2020-03-09,Louisiana,22,1,0
432,2020-03-09,Maryland,24,6,0
433,2020-03-09,Massachusetts,25,41,0
434,2020-03-09,Minnesota,27,2,0
435,2020-03-09,Missouri,29,1,0
436,2020-03-09,Nebraska,31,16,0
437,2020-03-09,Nevada,32,4,0
438,2020-03-09,New Hampshire,33,4,0
439,2020-03-09,New Jersey,34,11,0
440,2020-03-09,New York,36,142,0
441,2020-03-09,North Carolina,37,7,0
442,2020-03-09,Ohio,39,3,0
443,2020-03-09,Oklahoma,40,1,0
444,2020-03-09,Oregon,41,13,0
445,2020-03-09,Pennsylvania,42,10,0
446,2020-03-09,Rhode Island,44,3,0
447,2020-03-09,South Carolina,45,7,0
448,2020-03-09,Tennessee,47,4,0
449,2020-03-09,Texas,48,24,0
450,2020-03-09,Utah,49,3,0
451,2020-03-09,Vermont,50,1,0
452,2020-03-09,Virginia,51,5,0
453,2020-03-09,Washington,53,179,22
454,2020-03-09,Wisconsin,55,2,0
455,2020-03-10,Arizona,4,6,0
456,2020-03-10,California,6,179,3
457,2020-03-10,Colorado,8,17,0
458,2020-03-10,Connecticut,9,2,0
459,2020-03-10,District of Columbia,11,4,0
460,2020-03-10,Florida,12,23,2
461,2020-03-10,Georgia,13,22,0
462,2020-03-10,Hawaii,15,2,0
463,2020-03-10,Illinois,17,19,0
464,2020-03-10,Indiana,18,6,0
465,2020-03-10,Iowa,19,13,0
466,2020-03-10,Kansas,20,1,0
467,2020-03-10,Kentucky,21,7,0
468,2020-03-10,Louisiana,22,6,0
469,2020-03-10,Maryland,24,9,0
470,2020-03-10,Massachusetts,25,92,0
471,2020-03-10,Michigan,26,2,0
472,2020-03-10,Minnesota,27,3,0
473,2020-03-10,Missouri,29,1,0
474,2020-03-10,Nebraska,31,17,0
475,2020-03-10,Nevada,32,4,0
476,2020-03-10,New Hampshire,33,5,0
477,2020-03-10,New Jersey,34,15,1
478,2020-03-10,New York,36,173,0
479,2020-03-10,North Carolina,37,7,0
480,2020-03-10,Ohio,39,3,0
481,2020-03-10,Oklahoma,40,2,0
482,2020-03-10,Oregon,41,14,0
483,2020-03-10,Pennsylvania,42,12,0
484,2020-03-10,Rhode Island,44,5,0
485,2020-03-10,South Carolina,45,9,0
486,2020-03-10,South Dakota,46,5,1
487,2020-03-10,Tennessee,47,7,0
488,2020-03-10,Texas,48,31,0
489,2020-03-10,Utah,49,4,0
490,2020-03-10,Vermont,50,1,0
491,2020-03-10,Virginia,51,8,0
492,2020-03-10,Washington,53,279,24
493,2020-03-10,Wisconsin,55,3,0
494,2020-03-11,Arizona,4,9,0
495,2020-03-11,Arkansas,5,1,0
496,2020-03-11,California,6,202,4
497,2020-03-11,Colorado,8,34,0
498,2020-03-11,Connecticut,9,3,0
499,2020-03-11,Delaware,10,1,0
500,2020-03-11,District of Columbia,11,10,0
501,2020-03-11,Florida,12,26,2
502,2020-03-11,Georgia,13,31,0
503,2020-03-11,Hawaii,15,2,0
504,2020-03-11,Illinois,17,25,0
505,2020-03-11,Indiana,18,11,0
506,2020-03-11,Iowa,19,14,0
507,2020-03-11,Kansas,20,1,0
508,2020-03-11,Kentucky,21,7,0
509,2020-03-11,Louisiana,22,13,0
510,2020-03-11,Maryland,24,13,0
511,2020-03-11,Massachusetts,25,95,0
512,2020-03-11,Michigan,26,2,0
513,2020-03-11,Minnesota,27,5,0
514,2020-03-11,Mississippi,28,1,0
515,2020-03-11,Missouri,29,1,0
516,2020-03-11,Nebraska,31,23,0
517,2020-03-11,Nevada,32,7,0
518,2020-03-11,New Hampshire,33,5,0
519,2020-03-11,New Jersey,34,23,1
520,2020-03-11,New Mexico,35,4,0
521,2020-03-11,New York,36,217,0
522,2020-03-11,North Carolina,37,8,0
523,2020-03-11,North Dakota,38,1,0
524,2020-03-11,Ohio,39,4,0
525,2020-03-11,Oklahoma,40,2,0
526,2020-03-11,Oregon,41,20,0
527,2020-03-11,Pennsylvania,42,16,0
528,2020-03-11,Rhode Island,44,5,0
529,2020-03-11,South Carolina,45,10,0
530,2020-03-11,South Dakota,46,8,1
531,2020-03-11,Tennessee,47,8,0
532,2020-03-11,Texas,48,33,0
533,2020-03-11,Utah,49,5,0
534,2020-03-11,Vermont,50,2,0
535,2020-03-11,Virginia,51,10,0
536,2020-03-11,Washington,53,338,29
537,2020-03-11,Wisconsin,55,6,0
538,2020-03-11,Wyoming,56,1,0
539,2020-03-12,Alaska,2,1,0
540,2020-03-12,Arizona,4,9,0
541,2020-03-12,Arkansas,5,6,0
542,2020-03-12,California,6,252,4
543,2020-03-12,Colorado,8,49,1
544,2020-03-12,Connecticut,9,6,0
545,2020-03-12,Delaware,10,4,0
546,2020-03-12,District of Columbia,11,10,0
547,2020-03-12,Florida,12,46,2
548,2020-03-12,Georgia,13,31,1
549,2020-03-12,Hawaii,15,2,0
550,2020-03-12,Illinois,17,32,0
551,2020-03-12,Indiana,18,12,0
552,2020-03-12,Iowa,19,16,0
553,2020-03-12,Kansas,20,5,1
554,2020-03-12,Kentucky,21,11,0
555,2020-03-12,Louisiana,22,14,0
556,2020-03-12,Maine,23,1,0
557,2020-03-12,Maryland,24,13,0
558,2020-03-12,Massachusetts,25,108,0
559,2020-03-12,Michigan,26,12,0
560,2020-03-12,Minnesota,27,9,0
561,2020-03-12,Mississippi,28,1,0
562,2020-03-12,Missouri,29,2,0
563,2020-03-12,Nebraska,31,24,0
564,2020-03-12,Nevada,32,11,0
565,2020-03-12,New Hampshire,33,6,0
566,2020-03-12,New Jersey,34,29,1
567,2020-03-12,New Mexico,35,6,0
568,2020-03-12,New York,36,326,0
569,2020-03-12,North Carolina,37,16,0
570,2020-03-12,North Dakota,38,1,0
571,2020-03-12,Ohio,39,5,0
572,2020-03-12,Oklahoma,40,2,0
573,2020-03-12,Oregon,41,30,0
574,2020-03-12,Pennsylvania,42,22,0
575,2020-03-12,Rhode Island,44,5,0
576,2020-03-12,South Carolina,45,12,0
577,2020-03-12,South Dakota,46,8,1
578,2020-03-12,Tennessee,47,18,0
579,2020-03-12,Texas,48,41,0
580,2020-03-12,Utah,49,7,0
581,2020-03-12,Vermont,50,2,0
582,2020-03-12,Virginia,51,17,0
583,2020-03-12,Washington,53,419,32
584,2020-03-12,Wisconsin,55,8,0
585,2020-03-12,Wyoming,56,1,0
586,2020-03-13,Alabama,1,6,0
587,2020-03-13,Alaska,2,1,0
588,2020-03-13,Arizona,4,9,0
589,2020-03-13,Arkansas,5,7,0
590,2020-03-13,California,6,320,5
591,2020-03-13,Colorado,8,78,2
592,2020-03-13,Connecticut,9,11,0
593,2020-03-13,Delaware,10,4,0
594,2020-03-13,District of Columbia,11,10,0
595,2020-03-13,Florida,12,70,2
596,2020-03-13,Georgia,13,41,1
597,2020-03-13,Hawaii,15,2,0
598,2020-03-13,Idaho,16,1,0
599,2020-03-13,Illinois,17,46,0
600,2020-03-13,Indiana,18,12,0
601,2020-03-13,Iowa,19,17,0
602,2020-03-13,Kansas,20,6,1
603,2020-03-13,Kentucky,21,11,0
604,2020-03-13,Louisiana,22,36,0
605,2020-03-13,Maine,23,2,0
606,2020-03-13,Maryland,24,18,0
607,2020-03-13,Massachusetts,25,123,0
608,2020-03-13,Michigan,26,25,0
609,2020-03-13,Minnesota,27,14,0
610,2020-03-13,Mississippi,28,6,0
611,2020-03-13,Missouri,29,4,0
612,2020-03-13,Montana,30,4,0
613,2020-03-13,Nebraska,31,27,0
614,2020-03-13,Nevada,32,19,0
615,2020-03-13,New Hampshire,33,7,0
616,2020-03-13,New Jersey,34,50,1
617,2020-03-13,New Mexico,35,10,0
618,2020-03-13,New York,36,421,0
619,2020-03-13,North Carolina,37,18,0
620,2020-03-13,North Dakota,38,1,0
621,2020-03-13,Ohio,39,13,0
622,2020-03-13,Oklahoma,40,3,0
623,2020-03-13,Oregon,41,30,0
624,2020-03-13,Pennsylvania,42,41,0
625,2020-03-13,Puerto Rico,72,3,0
626,2020-03-13,Rhode Island,44,20,0
627,2020-03-13,South Carolina,45,13,0
628,2020-03-13,South Dakota,46,9,1
629,2020-03-13,Tennessee,47,26,0
630,2020-03-13,Texas,48,58,0
631,2020-03-13,Utah,49,7,0
632,2020-03-13,Vermont,50,2,0
633,2020-03-13,Virginia,51,30,0
634,2020-03-13,Washington,53,511,37
635,2020-03-13,Wisconsin,55,19,0
636,2020-03-13,Wyoming,56,2,0
637,2020-03-14,Alabama,1,12,0
638,2020-03-14,Alaska,2,1,0
639,2020-03-14,Arizona,4,12,0
640,2020-03-14,Arkansas,5,9,0
641,2020-03-14,California,6,381,5
642,2020-03-14,Colorado,8,103,2
643,2020-03-14,Connecticut,9,20,0
644,2020-03-14,Delaware,10,4,0
645,2020-03-14,District of Columbia,11,16,0
646,2020-03-14,Florida,12,70,3
647,2020-03-14,Georgia,13,65,1
648,2020-03-14,Hawaii,15,4,0
649,2020-03-14,Idaho,16,5,0
650,2020-03-14,Illinois,17,66,0
651,2020-03-14,Indiana,18,15,0
652,2020-03-14,Iowa,19,18,0
653,2020-03-14,Kansas,20,8,1
654,2020-03-14,Kentucky,21,18,0
655,2020-03-14,Louisiana,22,77,1
656,2020-03-14,Maine,23,3,0
657,2020-03-14,Maryland,24,27,0
658,2020-03-14,Massachusetts,25,138,0
659,2020-03-14,Michigan,26,33,0
660,2020-03-14,Minnesota,27,21,0
661,2020-03-14,Mississippi,28,6,0
662,2020-03-14,Missouri,29,5,0
663,2020-03-14,Montana,30,6,0
664,2020-03-14,Nebraska,31,29,0
665,2020-03-14,Nevada,32,21,0
666,2020-03-14,New Hampshire,33,7,0
667,2020-03-14,New Jersey,34,75,2
668,2020-03-14,New Mexico,35,13,0
669,2020-03-14,New York,36,610,2
670,2020-03-14,North Carolina,37,25,0
671,2020-03-14,North Dakota,38,1,0
672,2020-03-14,Ohio,39,26,0
673,2020-03-14,Oklahoma,40,4,0
674,2020-03-14,Oregon,41,36,1
675,2020-03-14,Pennsylvania,42,47,0
676,2020-03-14,Puerto Rico,72,4,0
677,2020-03-14,Rhode Island,44,20,0
678,2020-03-14,South Carolina,45,19,0
679,2020-03-14,South Dakota,46,9,1
680,2020-03-14,Tennessee,47,32,0
681,2020-03-14,Texas,48,69,0
682,2020-03-14,Utah,49,21,0
683,2020-03-14,Vermont,50,5,0
684,2020-03-14,Virgin Islands,78,1,0
685,2020-03-14,Virginia,51,42,1
686,2020-03-14,Washington,53,609,40
687,2020-03-14,Wisconsin,55,27,0
688,2020-03-14,Wyoming,56,3,0
689,2020-03-15,Alabama,1,23,0
690,2020-03-15,Alaska,2,1,0
691,2020-03-15,Arizona,4,13,0
692,2020-03-15,Arkansas,5,16,0
693,2020-03-15,California,6,478,6
694,2020-03-15,Colorado,8,136,2
695,2020-03-15,Connecticut,9,26,0
696,2020-03-15,Delaware,10,7,0
697,2020-03-15,District of Columbia,11,17,0
698,2020-03-15,Florida,12,109,3
699,2020-03-15,Georgia,13,97,1
700,2020-03-15,Guam,66,3,0
701,2020-03-15,Hawaii,15,7,0
702,2020-03-15,Idaho,16,5,0
703,2020-03-15,Illinois,17,94,0
704,2020-03-15,Indiana,18,19,0
705,2020-03-15,Iowa,19,22,0
706,2020-03-15,Kansas,20,9,1
707,2020-03-15,Kentucky,21,21,0
708,2020-03-15,Louisiana,22,103,2
709,2020-03-15,Maine,23,12,0
710,2020-03-15,Maryland,24,32,0
711,2020-03-15,Massachusetts,25,164,0
712,2020-03-15,Michigan,26,53,0
713,2020-03-15,Minnesota,27,35,0
714,2020-03-15,Mississippi,28,10,0
715,2020-03-15,Missouri,29,5,0
716,2020-03-15,Montana,30,6,0
717,2020-03-15,Nebraska,31,31,0
718,2020-03-15,Nevada,32,26,0
719,2020-03-15,New Hampshire,33,13,0
720,2020-03-15,New Jersey,34,98,2
721,2020-03-15,New Mexico,35,17,0
722,2020-03-15,New York,36,732,6
723,2020-03-15,North Carolina,37,32,0
724,2020-03-15,North Dakota,38,1,0
725,2020-03-15,Ohio,39,37,0
726,2020-03-15,Oklahoma,40,8,0
727,2020-03-15,Oregon,41,39,1
728,2020-03-15,Pennsylvania,42,68,0
729,2020-03-15,Puerto Rico,72,5,0
730,2020-03-15,Rhode Island,44,20,0
731,2020-03-15,South Carolina,45,28,0
732,2020-03-15,South Dakota,46,9,1
733,2020-03-15,Tennessee,47,39,0
734,2020-03-15,Texas,48,80,0
735,2020-03-15,Utah,49,29,0
736,2020-03-15,Vermont,50,8,0
737,2020-03-15,Virgin Islands,78,1,0
738,2020-03-15,Virginia,51,45,1
739,2020-03-15,Washington,53,675,42
740,2020-03-15,Wisconsin,55,33,0
741,2020-03-15,Wyoming,56,3,0
742,2020-03-16,Alabama,1,29,0
743,2020-03-16,Alaska,2,3,0
744,2020-03-16,Arizona,4,18,0
745,2020-03-16,Arkansas,5,22,0
746,2020-03-16,California,6,588,11
747,2020-03-16,Colorado,8,161,2
748,2020-03-16,Connecticut,9,41,0
749,2020-03-16,Delaware,10,8,0
750,2020-03-16,District of Columbia,11,22,0
751,2020-03-16,Florida,12,141,4
752,2020-03-16,Georgia,13,118,1
753,2020-03-16,Guam,66,3,0
754,2020-03-16,Hawaii,15,10,0
755,2020-03-16,Idaho,16,5,0
756,2020-03-16,Illinois,17,104,0
757,2020-03-16,Indiana,18,24,1
758,2020-03-16,Iowa,19,22,0
759,2020-03-16,Kansas,20,11,1
760,2020-03-16,Kentucky,21,22,1
761,2020-03-16,Louisiana,22,137,3
762,2020-03-16,Maine,23,17,0
763,2020-03-16,Maryland,24,39,0
764,2020-03-16,Massachusetts,25,197,0
765,2020-03-16,Michigan,26,54,0
766,2020-03-16,Minnesota,27,54,0
767,2020-03-16,Mississippi,28,12,0
768,2020-03-16,Missouri,29,9,0
769,2020-03-16,Montana,30,8,0
770,2020-03-16,Nebraska,31,33,0
771,2020-03-16,Nevada,32,45,1
772,2020-03-16,New Hampshire,33,17,0
773,2020-03-16,New Jersey,34,176,3
774,2020-03-16,New Mexico,35,21,0
775,2020-03-16,New York,36,950,10
776,2020-03-16,North Carolina,37,34,0
777,2020-03-16,North Dakota,38,1,0
778,2020-03-16,Ohio,39,50,0
779,2020-03-16,Oklahoma,40,10,0
780,2020-03-16,Oregon,41,46,1
781,2020-03-16,Pennsylvania,42,81,0
782,2020-03-16,Puerto Rico,72,5,0
783,2020-03-16,Rhode Island,44,21,0
784,2020-03-16,South Carolina,45,33,1
785,2020-03-16,South Dakota,46,10,1
786,2020-03-16,Tennessee,47,52,0
787,2020-03-16,Texas,48,87,1
788,2020-03-16,Utah,49,40,0
789,2020-03-16,Vermont,50,12,0
790,2020-03-16,Virgin Islands,78,2,0
791,2020-03-16,Virginia,51,51,1
792,2020-03-16,Washington,53,794,48
793,2020-03-16,Wisconsin,55,47,0
794,2020-03-16,Wyoming,56,10,0
795,2020-03-17,Alabama,1,39,0
796,2020-03-17,Alaska,2,6,0
797,2020-03-17,Arizona,4,20,0
798,2020-03-17,Arkansas,5,22,0
799,2020-03-17,California,6,732,14
800,2020-03-17,Colorado,8,183,3
801,2020-03-17,Connecticut,9,68,0
802,2020-03-17,Delaware,10,16,0
803,2020-03-17,District of Columbia,11,31,0
804,2020-03-17,Florida,12,210,6
805,2020-03-17,Georgia,13,142,1
806,2020-03-17,Guam,66,3,0
807,2020-03-17,Hawaii,15,14,0
808,2020-03-17,Idaho,16,9,0
809,2020-03-17,Illinois,17,159,1
810,2020-03-17,Indiana,18,30,2
811,2020-03-17,Iowa,19,29,0
812,2020-03-17,Kansas,20,17,1
813,2020-03-17,Kentucky,21,26,1
814,2020-03-17,Louisiana,22,196,5
815,2020-03-17,Maine,23,32,0
816,2020-03-17,Maryland,24,57,0
817,2020-03-17,Massachusetts,25,218,0
818,2020-03-17,Michigan,26,65,0
819,2020-03-17,Minnesota,27,60,0
820,2020-03-17,Mississippi,28,21,0
821,2020-03-17,Missouri,29,16,0
822,2020-03-17,Montana,30,8,0
823,2020-03-17,Nebraska,31,36,0
824,2020-03-17,Nevada,32,55,1
825,2020-03-17,New Hampshire,33,26,0
826,2020-03-17,New Jersey,34,268,3
827,2020-03-17,New Mexico,35,23,0
828,2020-03-17,New York,36,1375,18
829,2020-03-17,North Carolina,37,42,0
830,2020-03-17,North Dakota,38,5,0
831,2020-03-17,Ohio,39,67,0
832,2020-03-17,Oklahoma,40,18,0
833,2020-03-17,Oregon,41,66,2
834,2020-03-17,Pennsylvania,42,101,0
835,2020-03-17,Puerto Rico,72,5,0
836,2020-03-17,Rhode Island,44,23,0
837,2020-03-17,South Carolina,45,47,1
838,2020-03-17,South Dakota,46,11,1
839,2020-03-17,Tennessee,47,73,0
840,2020-03-17,Texas,48,106,1
841,2020-03-17,Utah,49,51,0
842,2020-03-17,Vermont,50,14,0
843,2020-03-17,Virgin Islands,78,2,0
844,2020-03-17,Virginia,51,67,2
845,2020-03-17,Washington,53,908,54
846,2020-03-17,West Virginia,54,1,0
847,2020-03-17,Wisconsin,55,72,0
848,2020-03-17,Wyoming,56,15,0
849,2020-03-18,Alabama,1,51,0
850,2020-03-18,Alaska,2,9,0
851,2020-03-18,Arizona,4,28,0
852,2020-03-18,Arkansas,5,33,0
853,2020-03-18,California,6,893,17
854,2020-03-18,Colorado,8,216,3
855,2020-03-18,Connecticut,9,96,1
856,2020-03-18,Delaware,10,26,0
857,2020-03-18,District of Columbia,11,36,0
858,2020-03-18,Florida,12,326,7
859,2020-03-18,Georgia,13,193,3
860,2020-03-18,Guam,66,8,0
861,2020-03-18,Hawaii,15,16,0
862,2020-03-18,Idaho,16,11,0
863,2020-03-18,Illinois,17,286,1
864,2020-03-18,Indiana,18,39,2
865,2020-03-18,Iowa,19,38,0
866,2020-03-18,Kansas,20,22,1
867,2020-03-18,Kentucky,21,35,1
868,2020-03-18,Louisiana,22,280,7
869,2020-03-18,Maine,23,43,0
870,2020-03-18,Maryland,24,85,1
871,2020-03-18,Massachusetts,25,256,0
872,2020-03-18,Michigan,26,80,1
873,2020-03-18,Minnesota,27,77,0
874,2020-03-18,Mississippi,28,34,0
875,2020-03-18,Missouri,29,21,1
876,2020-03-18,Montana,30,12,0
877,2020-03-18,Nebraska,31,43,0
878,2020-03-18,Nevada,32,82,1
879,2020-03-18,New Hampshire,33,39,0
880,2020-03-18,New Jersey,34,427,5
881,2020-03-18,New Mexico,35,28,0
882,2020-03-18,New York,36,2387,32
883,2020-03-18,North Carolina,37,66,0
884,2020-03-18,North Dakota,38,7,0
885,2020-03-18,Ohio,39,90,0
886,2020-03-18,Oklahoma,40,29,0
887,2020-03-18,Oregon,41,74,3
888,2020-03-18,Pennsylvania,42,139,1
889,2020-03-18,Puerto Rico,72,5,0
890,2020-03-18,Rhode Island,44,33,0
891,2020-03-18,South Carolina,45,60,1
892,2020-03-18,South Dakota,46,11,1
893,2020-03-18,Tennessee,47,98,0
894,2020-03-18,Texas,48,166,2
895,2020-03-18,Utah,49,65,0
896,2020-03-18,Vermont,50,19,0
897,2020-03-18,Virgin Islands,78,3,0
898,2020-03-18,Virginia,51,78,2
899,2020-03-18,Washington,53,1026,68
900,2020-03-18,West Virginia,54,2,0
901,2020-03-18,Wisconsin,55,106,0
902,2020-03-18,Wyoming,56,17,0
903,2020-03-19,Alabama,1,78,0
904,2020-03-19,Alaska,2,12,0
905,2020-03-19,Arizona,4,47,0
906,2020-03-19,Arkansas,5,62,0
907,2020-03-19,California,6,1067,19
908,2020-03-19,Colorado,8,278,5
909,2020-03-19,Connecticut,9,159,4
910,2020-03-19,Delaware,10,30,0
911,2020-03-19,District of Columbia,11,39,0
912,2020-03-19,Florida,12,434,8
913,2020-03-19,Georgia,13,282,10
914,2020-03-19,Guam,66,12,0
915,2020-03-19,Hawaii,15,26,0
916,2020-03-19,Idaho,16,23,0
917,2020-03-19,Illinois,17,420,4
918,2020-03-19,Indiana,18,56,2
919,2020-03-19,Iowa,19,44,0
920,2020-03-19,Kansas,20,35,1
921,2020-03-19,Kentucky,21,47,2
922,2020-03-19,Louisiana,22,392,10
923,2020-03-19,Maine,23,52,0
